Site_ID,Year,Date,Season,NW_Total,NW_Blight,NW_Percent,NE_Total,NE_Blight,NE_Percent,SE_Total,SE_Blight,SE_Percent,SW_Total,SW_Blight,SW_Percent,Avg_Percent
PB1,2015,23-Sep-15,F,42,10,23.8,36,17,47.2,12,3,25,33,9,27.2,31.7
SB1,2015,1-Oct-15,F,73,46,63,35,23,65.7,49,36,73.4,29,14,48.2,63.97
SC1,2015,8-Oct-15,F,15,0,0,21,0,0,17,0,0,16,0,0,0
SC1,2016,27-May-16,S,10,2,20,19,1,5.2,20,3,15,10,1,10,11.86
PB1,2016,3-Jun-16,S,22,14,63.6,25,16,64,11,5,45.4,18,14,77.7,64.47
SB1,2016,6-Jun-16,S,32,21,65.6,21,14,66.6,8,3,37.5,7,3,42.8,60.29
PB1,2016,10-Oct-16,F,24,17,70.8,37,24,64.8,9,6,66.6,26,17,65.3,66.66
SC1,2016,11-Oct-16,F,11,3,27.2,18,5,27.7,21,3,14.2,12,2,16.6,20.96
SB1,2016,12-Oct-16,F,26,16,61.5,14,3,21.4,36,7,19.4,13,6,46.1,35.95
PB1,2017,24-May-17,S,8,8,100,23,21,91.3,3,3,100,16,15,93.7,94
SC1,2017,25-May-17,S,20,6,30,10,1,10,30,5,16.6,29,9,31,23.59
SB1,2017,31-May-17,S,29,26,89.6,10,9,90,31,28,90.3,5,5,100,90.66
SC1,2017,25-Sep-17,F,13,10,76.9,12,6,50,26,12,46.1,12,5,41.6,52.38
PB1,2017,27-Sep-17,F,5,2,40,35,30,85.7,13,9,69.2,14,11,78.5,77.61
SB1,2017,28-Sep-17,F,10,10,100,12,9,75,32,27,84.3,4,4,100,86.2
SC1,2018,29-May-18,S,17,14,82.3,8,6,75,17,10,58.8,10,8,80,73.07
SB1,2018,30-May-18,S,13,12,92.3,9,7,77.7,7,5,71.4,4,1,25,75.75
PB1,2018,31-May-18,S,9,8,88.8,12,12,100,1,1,100,8,8,100,96.66
SC1,2018,28-Sep-18,F,13,9,69.2,11,7,63.6,18,12,66.6,17,11,64.7,66.1
SB1,2018,1-Oct-18,F,43,35,81.3,23,14,60.8,54,33,61.1,17,8,47,65.69
PB1,2018,5-Oct-18,F,18,12,66.6,28,20,71.4,5,4,80,17,10,58.8,67.64
SC1,2019,11-Jun-19,S,10,8,80,23,17,73.9,19,13,68.4,20,19,95,79.16
PB1,2019,25-Jun-19,S,10,10,100,16,16,100,2,2,100,12,12,100,100
SB1,2019,1-Jul-19,S,5,5,100,11,10,90.9,5,5,100,9,8,88.8,93.33
SC1,2019,26-Sep-19,F,8,8,100,35,30,85.7,24,19,79.1,8,7,87.5,85.33
SB1,2019,3-Oct-19,F,17,15,88.2,8,6,75,13,10,76.9,8,7,87.5,82.6
PB1,2019,4-Oct-19,F,6,6,100,18,17,94.4,9,8,88.8,4,4,100,94.59
SB1,2020,8-Jun-20,S,1,1,100,7,7,100,7,6,85.7,8,6,75,86.95
SC1,2020,10-Jun-20,S,9,8,88.8,9,7,77.7,15,15,100,13,10,76.9,86.95
PB1,2020,30-Jun-20,S,7,6,85.7,11,9,81.8,3,3,100,20,16,80,82.92
SC1,2020,9-Sep-20,F,6,4,66.6,7,6,85.7,13,10,76.9,16,13,81.2,78.57
PB1,2020,10-Sep-20,F,7,7,100,3,3,100,2,1,50,13,11,84.6,88
SB1,2020,14-Sep-20,F,6,5,83.3,7,6,85.7,12,11,91.6,3,3,100,89.28
PB1,2021,24-Jun-21,S,8,6,75,16,13,81.2,2,2,100,9,8,88.8,82.85
SC1,2021,25-Jun-21,S,7,5,71.4,6,6,100,28,22,78.5,18,15,83.3,81.35
SB1,2021,2-Jul-21,S,8,7,87.5,6,6,100,17,16,94.1,4,4,100,94.28
SC1,2021,20-Sep-21,F,5,5,100,7,6,85.7,18,16,88.8,7,7,100,91.89
SB1,2021,24-Sep-21,F,7,7,100,5,5,100,7,7,100,2,2,100,100
PB1,2021,1-Oct-21,F,5,3,60,18,16,88.8,2,2,100,4,4,100,86.2
SC1,2022,12-Jul-22,S,9,8,88.8,6,6,100,12,10,83.3,7,7,100,91.17
PB1,2022,14-Jul-22,S,10,8,80,7,7,100,1,1,100,12,10,83.3,86.66
SB1,2022,25-Jul-22,S,7,6,85.7,6,5,83.3,10,10,100,5,5,100,92.85
SC1,2022,30-Sep-22,F,6,5,83.3,8,7,87.5,16,15,93.7,9,9,100,92.3
SB1,2022,4-Oct-22,F,25,22,88,7,7,100,15,15,100,5,5,100,94.23
PB1,2022,5-Oct-22,F,9,6,66.6,11,9,81.8,1,1,100,8,8,100,82.75
SC1,2023,12-Jun-23,S,6,6,100,9,8,88.8,25,23,92,9,9,100,93.87
PB1,2023,21-Jun-23,S,10,10,100,8,8,100,1,1,100,19,18,94.7,97.36
SB1,2023,3-Jul-23,S,3,3,100,12,11,91.6,4,4,100,3,3,100,95.45
SC1,2023,19-Sep-23,F,5,5,100,8,8,100,11,9,81.8,7,6,85.7,90.32
SB1,2023,2-Oct-23,F,5,5,100,8,8,100,10,9,90,3,3,100,96.15
PB1,2023,3-Oct-23,F,5,4,80,3,3,100,1,1,100,13,13,100,95.45
SC1,2024,24-Jun-24,S,13,12,92.3,3,2,66.6,8,8,100,4,4,100,92.85
SB1,2024,27-Jun-24,S,6,6,100,11,11,100,10,9,90,7,7,100,97.05
PB1,2024,3-Jul-24,S,12,11,91.6,4,4,100,2,2,100,7,7,100,96
SC1,2024,20-Sep-24,F,4,4,100,6,5,83.3,8,8,100,2,2,100,95
SB1,2024,27-Sep-24,F,6,6,100,3,2,66.6,3,3,100,2,1,50,85.71
PB1,2024,2-Oct-24,F,23,8,34.7,4,4,100,1,1,100,9,6,66.6,51.35
SC1,2025,11-Jul-25,S,3,3,100,4,4,100,5,5,100,1,1,100,100
SB1,2025,14-Jul-25,S,5,5,100,4,4,100,2,2,100,3,3,100,100
PB1,2025,25-Jul-25,S,7,6,85.7,3,3,100,0,0,,5,5,100,93.33
SC1,2025,16-Sep-25,F,4,4,100,4,4,100,11,9,81.8,5,5,100,91.66
SB1,2025,29-Sep-25,F,7,6,85.7,4,4,100,6,6,100,3,3,100,95
PB1,2025,30-Sep-25,F,18,14,77.7,4,3,75,1,1,100,13,11,84.6,80.55
