Tree ID Tag,Species,dbh.2007,dbh.2012,dbh.2014,dbh.2017,dbh.2020,dbh.2022,dbh.2024
912,Beech,75,77.3,78,79.8,80.5,80.5,81
913,Beech,10,10,10,10.1,10.2,10.4,10.4
914,Beech,74,75.8,76.3,77.4,78.6,78.6,78.8
915,Beech,54,55.6,55.8,56.5,57.5,57.7,57.8
916,Beech,64,65.7,66,66.8,67.2,67.4,67.5
917,Sugar Maple,13,13.1,13.2,13.2,13.2,DEAD,
918,Beech,51,55.3,56,57.5,58.4,59.2,59.4
919,Sugar Maple,71,72.1,72.5,73.2,74.1,74.4,74.6
920,Beech,81,83.3,84,85.3,86.7,86.9,87.2
921,Beech,46,47,47.4,48.1,48.4,48.6,49.4
922,Beech,90,91.8,93.1,93.9,95.2,95.2,95.2
923,Sugar Maple,11,11.4,11.7,11.7,11.7,11.7,11.8
924,Sugar Maple,11,11.2,11.3,11.3,11.3,11.3,11.4
925,Beech,6,6.4,6.5,6.6,6.6,DEAD,
926,Sugar Maple,77,80.1,80.9,82.7,84.1,85.3,86.7
927,Sugar Maple,6,6,6.1,DEAD,,,
928,Sugar Maple,15,15.6,15.9,16.3,16.4,16.5,16.7
929,Beech,NA,12.8,13,13.2,13.6,13.3,13.3
930,Sugar Maple,14,15,15.3,15.5,15.6,15.6,15.8
931,Beech,76,80.6,81.7,83.5,86,87,89
932,Sugar Maple,22,26.5,27.5,29.3,30.5,31,32.3
933,Beech,28,29.3,30.2,31.8,33.1,33.4,34.6
892,Beech,20.5,22.2,22.5,23.3,23.3,23.3,23.7
893,Beech,91,92,92,92.1,92.2,92.2,DEAD
894,Beech,18,19.3,19.6,20.7,21.2,21.3,21.7
895,Sugar Maple,12,12.8,14,14.7,15.8,16.3,17.9
896,Sugar Maple,10,10.2,10.9,11.4,12.5,13,14.4
897,Beech,87,90.8,91.6,92.8,93.5,93.8,93.6
898,Sugar Maple,15,13.6,13.9,14.2,14.8,14.8,15
899,Sugar Maple,26,28.1,29.4,68.8,32.7,33.4,35
900,Sugar Maple,10,9.8,DEAD,NA,,,
901,Beech,58,59.7,60.5,61.4,61.9,62,62.4
902,Beech,67,68.1,68.3,68.8,69.3,69.3,69.8
903,Beech,9.5,9.6,9.6,9.7,DEAD,,
904,Beech,98,102.5,102.9,106.5,108.7,108.5,109.4
905,Beech,10,10.3,10.6,10.5,10.5,NA,presumed DEAD
906,Beech,73,75,75.5,76,76.9,76.9,77.3
907,Beech,40,42,42.7,43.7,44,44.3,44.5
910,Beech,26,26.8,27.4,28.1,28.2,28.4,28.7
911,Beech,57,59.3,60.6,62,63.2,63.6,64.5
876,Sugar Maple,12,12,13,14.2,15.4,16.3,17.9
877,Beech,95,100,101.2,102.7,103.9,104.6,106.1
878,Beech,64,66.7,66.7,66.7,67,67.4,67.3
879,Beech,61,61.9,61.9,62.2,62.8,62.5,62.6
880,Sugar Maple,10,10.1,10.2,10.2,10.5,10.6,11.2
881,Beech,71,72,72.9,74.2,75.1,DEAD,
882,Sugar Maple,13,14.4,14.8,14.9,15.1,15.5,16.5
883,Beech,87,92.8,93.3,95.2,95.5,96.7,97.7
884,Sugar Maple,8,7.7,DEAD,NA,,,
885,Beech,7,6.7,6.8,DEAD,,,
886,Beech,20,22.7,24.1,25.9,27.6,28.4,29.7
887,Sugar Maple,18,20.8,21.7,22.8,23.6,23.9,24.9
888,Beech,53,56,57.4,58.9,60.7,61.3,63.1
889,Beech,41,45.3,46.9,48.9,50.7,51.2,52.5
890,Beech,24,29,30.7,32.9,35.2,36.1,37.4
891,Sugar Maple,16,15.8,15.8,DEAD,,,
