Site,Block (Forest) Name,Block,GPS Plot #,Code,Rep,Lime,TSP,correct treatments
North,Pierson Creek,PC,12,N10,2,0,0,control
North,Pierson Creek,PC,1,N21,3,0,0,Control
North,Pierson Creek,PC,6,N24,1,0,0,Control
North,Pierson Creek,PC,11,N02,2,1,0,lime
North,Pierson Creek,PC,5,N15,1,1,0,Lime
North,Pierson Creek,PC,4,N26,3,1,0,Lime
North,Pierson Creek,PC,7,N03,1,0,1,TSP
North,Pierson Creek,PC,3,N11,3,0,1,TSP
North,Pierson Creek,PC,9,N22,2,0,1,TSP
North,Pierson Creek,PC,10,N06,2,1,1,X-Trt
North,Pierson Creek,PC,2,N17,3,1,1,X-Trt
North,Pierson Creek,PC,8,N35,1,1,1,X-Trt
North,Shoop Forest,SF,11,N01,1,0,0,Control
North,Shoop Forest,SF,9,N12,3,0,0,Control
North,Shoop Forest,SF,5,N33,2,0,0,Control
North,Shoop Forest,SF,1,N07,1,1,0,Lime
North,Shoop Forest,SF,7,N14,3,1,0,Lime
North,Shoop Forest,SF,6,N27,2,1,0,Lime
North,Shoop Forest,SF,3,N30,2,0,1,TSP
North,Shoop Forest,SF,10,N32,3,0,1,TSP
North,Shoop Forest,SF,12,N34,1,0,1,TSP
North,Shoop Forest,SF,2,N13,1,1,1,X-Trt
North,Shoop Forest,SF,8,N20,3,1,1,X-Trt
North,Shoop Forest,SF,4,N29,2,1,1,X-Trt
North,Squire Valley,SV,11,N09,3,0,0,Control
North,Squire Valley,SV,3,N19,1,0,0,Control
North,Squire Valley,SV,7,N31,2,0,0,Control
North,Squire Valley,SV,2,N08,1,1,0,lime
North,Squire Valley,SV,10,N18,3,1,0,Lime
North,Squire Valley,SV,6,N25,2,1,0,Lime
North,Squire Valley,SV,1,N16,1,0,1,TSP
North,Squire Valley,SV,5,N23,2,0,1,TSP
North,Squire Valley,SV,12,N28,3,0,1,TSP
North,Squire Valley,SV,9,N04,3,1,1,X-Trt
North,Squire Valley,SV,4,N05,1,1,1,x-trt
North,Squire Valley,SV,8,N36,2,1,1,X-Trt
